Academic Terms Key,Term Code,Term Description,Term Selector,Term Start Date,Term End Date,Academic Year,Academic Year Desc,Is Current Term,Term Status Indicator,Financial Aid Year,Degree Year,Last Day Of Final Exam,Pre Registration Start Day,Registration Day,First Day Of Classes,Last Day Of Classes,Graduate Award Start Date,Graduate Award End Date,Warehouse Load Date
2009SU,2009SU,Summer Term 2009,2009SU-Summer Term 2009,06/08/2009,08/18/2009,2009,Academic Year 2008-2009,N,P,2010,2010,08/18/2009,05/01/2009,06/08/2009,06/08/2009,08/18/2009,06/01/2009,08/31/2009,01/08/2016
2010SU,2010SU,Summer Term 2010,2010SU-Summer Term 2010,06/07/2010,08/17/2010,2010,Academic Year 2009-2010,N,P,2011,2011,08/17/2010,05/03/2010,06/07/2010,06/07/2010,08/17/2010,06/01/2010,08/31/2010,01/08/2016
2011FA,2011FA,Fall Term 2010-2011,2011FA-Fall Term 2010-2011,09/07/2010,12/17/2010,2011,Academic Year 2010-2011,N,P,2011,2011,12/17/2010,05/03/2010,09/07/2010,09/08/2010,12/09/2010,09/01/2010,01/15/2011,01/08/2016
2011JA,2011JA,January Term 2010-2011,2011JA-January Term 2010-2011,01/03/2011,01/30/2011,2011,Academic Year 2010-2011,N,P,"","",01/28/2011,12/01/2010,01/03/2011,01/03/2011,01/31/2011,"","",01/08/2016
2011SP,2011SP,Spring Term 2010-2011,2011SP-Spring Term 2010-2011,01/31/2011,06/05/2011,2011,Academic Year 2010-2011,N,P,2011,2011,05/20/2011,12/01/2010,01/31/2011,02/01/2011,05/12/2011,01/16/2011,05/31/2011,01/08/2016
2011SU,2011SU,Summer Term 2011,2011SU-Summer Term 2011,06/06/2011,08/16/2011,2011,Academic Year 2010-2011,N,P,2012,2012,08/21/2011,05/02/2011,06/06/2011,06/06/2011,08/16/2011,06/01/2011,08/31/2011,01/08/2016
2012FA,2012FA,Fall Term 2011-2012,2012FA-Fall Term 2011-2012,09/06/2011,12/22/2011,2012,Academic Year 2011-2012,N,P,2012,2012,12/22/2011,05/02/2011,09/06/2011,09/07/2011,12/14/2011,09/01/2011,01/15/2012,01/08/2016
2012JA,2012JA,January Term 2011-2012,2012JA-January Term 2011-2012,01/09/2012,02/05/2012,2012,Academic Year 2011-2012,N,P,2012,2012,02/03/2012,12/01/2011,01/09/2012,01/09/2012,02/03/2012,"","",01/08/2016
2012SP,2012SP,Spring Term 2011-2012,2012SP-Spring Term 2011-2012,02/06/2012,06/08/2012,2012,Academic Year 2011-2012,N,P,2012,2012,05/25/2012,12/01/2011,02/06/2012,02/07/2012,05/17/2012,01/16/2012,05/31/2012,01/08/2016
2012SU,2012SU,Summer Term 2012,2012SU-Summer Term 2012,06/11/2012,08/21/2012,2012,Academic Year 2011-2012,N,P,2013,2013,08/21/2012,05/01/2012,06/11/2012,06/11/2012,08/21/2012,06/01/2012,08/31/2012,01/08/2016
2013SP,2013SP,Spring Term 2012-2013,2013SP-Spring Term 2012-2013,02/04/2013,05/24/2013,2013,Academic Year 2012-2013,N,P,2013,2013,05/24/2013,12/03/2012,02/04/2013,02/05/2013,05/16/2013,01/16/2013,05/31/2013,01/08/2016
2013SU,2013SU,Summer Term 2013,2013SU-Summer Term 2013,06/10/2013,08/20/2013,2013,Academic Year 2012-2013,N,P,2014,2014,08/20/2013,05/01/2013,06/10/2013,06/10/2013,08/20/2013,06/01/2013,08/31/2013,01/08/2016
2014JA,2014JA,January Term 2013-2014,2014JA-January Term 2013-2014,01/06/2014,01/31/2014,2014,Academic Year 2013-2014,N,P,2014,2014,01/31/2014,12/02/2013,01/06/2014,01/06/2014,01/31/2014,"","",01/08/2016
2014SP,2014SP,Spring Term 2013-2014,2014SP-Spring Term 2013-2014,02/03/2014,05/23/2014,2014,Academic Year 2013-2014,N,P,2014,2014,05/23/2014,12/02/2013,02/03/2014,02/04/2014,05/15/2014,01/16/2014,05/31/2014,01/08/2016
2014SU,2014SU,Summer Term 2014,2014SU-Summer Term 2014,06/09/2014,08/03/2014,2014,Academic Year 2013-2014,N,P,2015,2015,08/19/2014,05/01/2014,06/09/2014,06/09/2014,08/19/2014,06/01/2014,08/31/2014,01/08/2016
2016FA,2016FA,Fall Term 2015-2016,2016FA-Fall Term 2015-2016,09/08/2015,12/18/2015,2016,Academic Year 2015-2016,N,P,2016,2016,12/18/2015,05/01/2015,09/08/2015,09/09/2015,12/10/2015,09/01/2015,01/15/2016,01/08/2016
2016SP,2016SP,Spring Term 2015-2016,2016SP-Spring Term 2015-2016,02/01/2016,05/20/2016,2016,Academic Year 2015-2016,N,F,2016,2016,05/20/2016,12/01/2015,02/01/2016,"","",01/16/2016,05/31/2016,01/08/2016
2016SU,2016SU,Summer Term 2016,2016SU-Summer Term 2016,06/06/2016,08/16/2016,2016,Academic Year 2015-2016,N,"",2017,2017,08/16/2016,05/01/2016,06/06/2016,"","","","",01/08/2016
2018FA,2018FA,Fall Term 2017-2018,2018FA-Fall Term 2017-2018,09/05/2017,12/22/2017,2018,Academic Year 2017-2018,N,"",2018,2018,12/20/2017,05/01/2017,09/03/2017,"","","","",01/08/2016
2018JA,2018JA,January Term 2017-2018,2018JA-January Term 2017-2018,01/08/2018,02/02/2018,2018,Academic Year 2017-2018,N,"",2018,2018,02/01/2018,12/01/2017,01/07/2018,"","","","",01/08/2016
2018SU,2018SU,Summer Term 2018,2018SU-Summer Term 2018,06/11/2018,08/21/2018,2018,Academic Year 2017-2018,N,"",2019,2019,08/20/2018,05/01/2018,06/10/2018,"","","","",01/08/2016
2019FA,2019FA,Fall Term 2018-2019,2019FA-Fall Term 2018-2019,09/04/2018,12/21/2018,2019,Academic Year 2018-2019,N,"",2019,2019,12/20/2018,05/01/2018,09/03/2018,"","","","",01/08/2016
2019SP,2019SP,Spring Term 2018-2019,2019SP-Spring Term 2018-2019,02/04/2019,05/24/2019,2019,Academic Year 2018-2019,N,"",2019,2019,05/23/2019,12/01/2018,02/03/2019,"","","","",01/08/2016
2019JA,2019JA,January Term 2018-2019,2019JA-January Term 2018-2019,01/07/2019,02/01/2019,2019,Academic Year 2018-2019,N,"",2019,2019,02/01/2019,12/01/2018,01/07/2019,"","","","",01/08/2016
2020FA,2020FA,Fall Term 2019-2020,2020FA-Fall Term 2019-2020,09/03/2019,12/20/2019,2020,Academic Year 2019-2020,N,"",2020,2020,12/20/2019,05/01/2019,09/03/2019,"","","","",01/08/2016
2020JA,2020JA,January Term 2019-2020,2020JA-January Term 2019-2020,01/06/2020,01/31/2020,2020,Academic Year 2019-2020,N,"",2020,2020,02/01/2020,12/01/2019,01/07/2020,"","","","",01/08/2016
2020SP,2020SP,Spring Term 2019-2020,2020SP-Spring Term 2019-2020,02/03/2020,05/22/2020,2020,Academic Year 2019-2020,N,"",2020,2020,05/22/2020,12/01/2019,02/03/2020,"","","","",01/08/2016
2020SU,2020SU,Summer Term 2020,2020SU-Summer Term 2020,06/08/2020,08/18/2020,2020,Academic Year 2019-2020,N,"",2020,2020,08/19/2020,05/01/2020,06/09/2020,"","","","",01/08/2016
2015FA,2015FA,Fall Term 2014-2015,2015FA-Fall Term 2014-2015,09/02/2014,12/19/2014,2015,Academic Year 2014-2015,N,P,2015,2015,12/19/2014,05/01/2014,09/02/2014,09/03/2014,12/10/2014,09/01/2014,01/15/2015,01/08/2016
2015JA,2015JA,January Term 2014-2015,2015JA-January Term 2014-2015,01/05/2015,01/30/2015,2015,Academic Year 2014-2015,N,P,2015,2015,01/30/2015,12/01/2014,01/05/2015,01/05/2015,01/30/2015,"","",01/08/2016
2015SP,2015SP,Spring Term 2014-2015,2015SP-Spring Term 2014-2015,02/02/2015,05/22/2015,2015,Academic Year 2014-2015,N,P,2015,2015,05/22/2015,12/01/2014,02/02/2015,02/03/2015,05/14/2015,01/16/2015,05/31/2015,01/08/2016
2015SU,2015SU,Summer Term 2015,2015SU-Summer Term 2015,06/08/2015,08/18/2015,2015,Academic Year 2014-2015,N,P,2016,2016,08/18/2015,05/01/2015,06/08/2015,06/08/2015,08/14/2015,06/01/2015,08/31/2015,01/08/2016
2017FA,2017FA,Fall Term 2016-2017,2017FA-Fall Term 2016-2017,09/06/2016,12/22/2016,2017,Academic Year 2016-2017,N,"",2017,2017,12/22/2016,05/01/2016,09/06/2016,"","","","",01/08/2016
2017JA,2017JA,January Term 2016-2017,2017JA-January Term 2016-2017,01/09/2017,02/03/2017,2017,Academic Year 2016-2017,N,"",2017,2017,02/03/2017,12/01/2016,01/09/2017,"","","","",01/08/2016
2017SP,2017SP,Spring Term 2016-2017,2017SP-Spring Term 2016-2017,02/06/2017,05/26/2017,2017,Academic Year 2016-2017,N,"",2017,2017,05/26/2017,12/01/2016,02/06/2017,"","","","",01/08/2016
2017SU,2017SU,Summer Term 2017,2017SU-Summer Term 2017,06/12/2017,08/22/2017,2017,Academic Year 2016-2017,N,"",2018,2018,08/22/2017,05/01/2017,06/12/2017,"","","","",01/08/2016
1962FA,1962FA,Fall Term 1961-1962,1962FA-Fall Term 1961-1962,09/18/1961,01/26/1962,1962,Academic Year 1961-1962,N,P,1962,1962,01/26/1962,"",09/18/1961,"","","","",01/08/2016
1972FA,1972FA,Fall Term 1971-1972,1972FA-Fall Term 1971-1972,09/13/1971,12/22/1971,1972,Academic Year 1971-1972,N,P,1972,1972,12/22/1971,"",09/13/1971,"","","","",01/08/2016
1971SU,1971SU,Summer Term 1971,1971SU-Summer Term 1971,06/14/1971,08/26/1971,1971,Academic Year 1970-1971,N,P,1972,1972,08/26/1971,"",06/14/1971,"","","","",01/08/2016
1969SU,1969SU,Summer Term 1969,1969SU-Summer Term 1969,06/17/1969,08/28/1969,1969,Academic Year 1968-1969,N,P,1970,1970,08/28/1969,"",06/17/1969,"","","","",01/08/2016
1979FA,1979FA,Fall Term 1978-1979,1979FA-Fall Term 1978-1979,09/11/1978,12/21/1978,1979,Academic Year 1978-1979,N,P,1979,1979,12/21/1978,"",09/11/1978,"","",09/01/1978,01/15/1979,01/08/2016
1977SU,1977SU,Summer Term 1977,1977SU-Summer Term 1977,06/13/1977,08/24/1977,1977,Academic Year 1976-1977,N,P,1978,1978,08/24/1977,"",06/13/1977,"","","","",01/08/2016
1975SP,1975SP,Spring Term 1974-1975,1975SP-Spring Term 1974-1975,02/03/1975,05/22/1975,1975,Academic Year 1974-1975,N,P,1975,1975,05/22/1975,"",02/03/1975,"","","","",01/08/2016
1993FA,1993FA,Fall Term 1992-1993,1993FA-Fall Term 1992-1993,09/09/1992,12/18/1992,1993,Academic Year 1992-1993,N,P,1993,1993,12/18/1992,"",09/09/1992,09/10/1992,12/10/1992,09/01/1992,01/15/1993,01/08/2016
1997SP,1997SP,Spring Term 1996-1997,1997SP-Spring Term 1996-1997,02/03/1997,05/23/1997,1997,Academic Year 1996-1997,N,P,1997,1997,05/23/1997,05/01/1997,02/03/1997,02/04/1997,05/15/1997,01/16/1997,05/31/1997,01/08/2016
2000SU,2000SU,Summer Term 2000,2000SU-Summer Term 2000,06/05/2000,08/15/2000,2000,Academic Year 1999-2000,N,P,2001,2001,08/16/2000,05/01/2000,06/06/2000,06/05/2000,08/15/2000,06/01/2000,08/31/2000,01/08/2016
2018SP,2018SP,Spring Term 2017-2018,2018SP-Spring Term 2017-2018,02/05/2018,05/25/2018,2018,Academic Year 2017-2018,N,"",2018,2018,05/23/2018,12/01/2017,02/03/2018,"","","","",01/08/2016
1962SP,1962SP,Spring Term 1961-1962,1962SP-Spring Term 1961-1962,02/05/1962,06/01/1962,1962,Academic Year 1961-1962,N,P,1962,1962,06/01/1962,"",02/05/1962,"","","","",01/08/2016
2003FA,2003FA,Fall Term 2002-2003,2003FA-Fall Term 2002-2003,09/03/2002,01/05/2003,2003,Academic Year 2002-2003,N,P,2003,2003,12/20/2002,05/01/2002,09/03/2002,09/04/2002,12/11/2002,09/01/2002,01/15/2003,01/08/2016
1969FA,1969FA,Fall Term 1968-1969,1969FA-Fall Term 1968-1969,09/23/1968,01/31/1969,1969,Academic Year 1968-1969,N,P,1969,1969,01/31/1969,"",09/23/1968,"","","","",01/08/2016
1965FA,1965FA,Fall Term 1964-1965,1965FA-Fall Term 1964-1965,09/21/1964,01/29/1965,1965,Academic Year 1964-1965,N,P,1965,1965,01/29/1965,"",09/21/1964,"","","","",01/08/2016
1980SP,1980SP,Spring Term 1979-1980,1980SP-Spring Term 1979-1980,02/04/1980,05/22/1980,1980,Academic Year 1979-1980,N,P,1980,1980,05/22/1980,"",02/04/1980,"","",01/16/1980,05/31/1980,01/08/2016
1992FA,1992FA,Fall Term 1991-1992,1992FA-Fall Term 1991-1992,09/09/1991,12/20/1991,1992,Academic Year 1991-1992,N,P,1992,1992,12/20/1991,"",09/09/1991,09/10/1991,12/12/1991,09/01/1991,01/15/1992,01/08/2016
1990FA,1990FA,Fall Term 1989-1990,1990FA-Fall Term 1989-1990,09/11/1989,12/22/1989,1990,Academic Year 1989-1990,N,P,1990,1990,12/22/1989,"",09/11/1989,"","",09/01/1989,01/15/1990,01/08/2016
1984FA,1984FA,Fall Term 1983-1984,1984FA-Fall Term 1983-1984,09/12/1983,12/22/1983,1984,Academic Year 1983-1984,N,P,1984,1984,12/22/1983,"",09/12/1983,"","",09/01/1983,01/15/1984,01/08/2016
2006SP,2006SP,Spring Term 2005-2006,2006SP-Spring Term 2005-2006,02/06/2006,05/28/2006,2006,Academic Year 2005-2006,N,P,2006,2006,05/26/2006,12/01/2005,02/06/2006,02/07/2006,05/18/2006,01/16/2006,05/31/2006,01/08/2016
2013FA,2013FA,Fall Term 2012-2013,2013FA-Fall Term 2012-2013,09/04/2012,12/21/2012,2013,Academic Year 2012-2013,N,P,2013,2013,12/21/2012,05/01/2012,09/04/2012,09/05/2012,12/12/2012,09/01/2012,01/15/2013,01/08/2016
1997FA,1997FA,Fall Term 1996-1997,1997FA-Fall Term 1996-1997,09/03/1996,12/20/1996,1997,Academic Year 1996-1997,N,P,1997,1997,12/20/1996,05/03/1996,09/03/1996,09/04/1996,12/11/1996,09/01/1996,01/15/1997,01/08/2016
1973SU,1973SU,Summer Term 1973,1973SU-Summer Term 1973,06/11/1973,08/23/1973,1973,Academic Year 1972-1973,N,P,1974,1974,08/23/1973,"",06/11/1973,"","","","",01/08/2016
1982JA,1982JA,January Term 1981-1982,1982JA-January Term 1981-1982,01/04/1982,01/27/1982,1982,Academic Year 1981-1982,N,P,"","",01/27/1982,"",01/04/1982,"","","","",01/08/2016
1978FA,1978FA,Fall Term 1977-1978,1978FA-Fall Term 1977-1978,09/12/1977,12/22/1977,1978,Academic Year 1977-1978,N,P,1978,1978,12/22/1977,"",09/12/1977,"","",09/01/1977,01/15/1978,01/08/2016
1995FA,1995FA,Fall Term 1994-1995,1995FA-Fall Term 1994-1995,09/06/1994,12/22/1994,1995,Academic Year 1994-1995,N,P,1995,1995,12/22/1994,"",09/06/1994,09/07/1994,12/14/1994,09/01/1994,01/15/1995,01/08/2016
1983SP,1983SP,Spring Term 1982-1983,1983SP-Spring Term 1982-1983,01/31/1983,05/18/1983,1983,Academic Year 1982-1983,N,P,1983,1983,05/18/1983,"",01/31/1983,"","",01/16/1983,05/31/1983,01/08/2016
1986FA,1986FA,Fall Term 1985-1986,1986FA-Fall Term 1985-1986,09/09/1985,12/20/1985,1986,Academic Year 1985-1986,N,P,1986,1986,12/20/1985,"",09/09/1985,"","",09/01/1985,01/15/1986,01/08/2016
1997SU,1997SU,Summer Term 1997,1997SU-Summer Term 1997,06/09/1997,08/19/1997,1997,Academic Year 1996-1997,N,P,1998,1998,08/19/1997,"",06/09/1997,06/09/1997,08/19/1997,06/01/1997,08/31/1997,01/08/2016
1959FA,1959FA,Fall Term 1958-1959,1959FA-Fall Term 1958-1959,09/18/1958,01/30/1959,1959,Academic Year 1958-1959,N,P,XXXX,XXXX,01/25/1959,"",09/17/1958,"","","","",01/08/2016
2008SU,2008SU,Summer Term 2008,2008SU-Summer Term 2008,06/09/2008,08/19/2008,2008,Academic Year 2007-2008,N,P,2009,2009,08/19/2008,05/01/2008,06/09/2008,06/09/2008,08/19/2008,06/01/2008,08/31/2008,01/08/2016
2013JA,2013JA,January Term 2012-2013,2013JA-January Term 2012-2013,01/07/2013,02/01/2013,2013,Academic Year 2012-2013,N,P,2013,2013,02/01/2013,12/03/2012,01/05/2013,01/07/2013,02/01/2013,"","",01/08/2016
2019SU,2019SU,Summer Term 2019,2019SU-Summer Term 2019,06/10/2019,08/20/2019,2019,Academic Year 2018-2019,N,"",2020,2020,08/20/2019,05/01/2019,06/10/2019,"","","","",01/08/2016
1960SU,1960SU,Summer Term 1960,1960SU-Summer Term 1960,06/20/1960,09/01/1960,1960,Academic Year 1959-1960,N,P,1961,1961,09/01/1960,"",06/20/1960,"","","","",01/08/2016
1998JA,1998JA,January Term 1997-1998,1998JA-January Term 1997-1998,01/05/1998,01/30/1998,1998,Academic Year 1997-1998,N,P,"","",01/30/1998,"",01/05/1998,01/05/1998,01/30/1998,"","",01/08/2016
1973SP,1973SP,Spring Term 1972-1973,1973SP-Spring Term 1972-1973,02/05/1973,05/24/1973,1973,Academic Year 1972-1973,N,P,1973,1973,05/24/1973,"",02/05/1973,"","","","",01/08/2016
1980FA,1980FA,Fall Term 1979-1980,1980FA-Fall Term 1979-1980,09/10/1979,12/20/1979,1980,Academic Year 1979-1980,N,P,1980,1980,12/20/1979,"",09/10/1979,"","",09/01/1979,01/15/1980,01/08/2016
1975JA,1975JA,January Term 1974-1975,1975JA-January Term 1974-1975,01/06/1975,01/29/1975,1975,Academic Year 1974-1975,N,P,"","",01/29/1975,"",01/06/1975,"","","","",01/08/2016
1989SP,1989SP,Spring Term 1988-1989,1989SP-Spring Term 1988-1989,02/06/1989,05/24/1989,1989,Academic Year 1988-1989,N,P,1989,1989,05/24/1989,"",02/06/1989,"","",01/16/1989,05/31/1989,01/08/2016
1984JA,1984JA,January Term 1983-1984,1984JA-January Term 1983-1984,01/09/1984,02/01/1984,1984,Academic Year 1983-1984,N,P,"","",02/01/1984,"",01/09/1984,"","","","",01/08/2016
1999SU,1999SU,Summer Term 1999,1999SU-Summer Term 1999,06/07/1999,08/17/1999,1999,Academic Year 1998-1999,N,P,2000,2000,08/17/1999,05/01/1999,06/07/1999,06/07/1999,08/17/1999,06/01/1999,08/31/1999,01/08/2016
2009SP,2009SP,Spring Term 2008-2009,2009SP-Spring Term 2008-2009,02/02/2009,05/22/2009,2009,Academic Year 2008-2009,N,P,2009,2009,05/22/2009,12/01/2008,02/02/2009,02/03/2009,05/14/2009,01/16/2009,05/31/2009,01/08/2016
2016JA,2016JA,January Term 2015-2016,2016JA-January Term 2015-2016,01/04/2016,01/29/2016,2016,Academic Year 2015-2016,Y,C,2016,2016,01/29/2016,12/01/2015,01/04/2016,"","","","",01/08/2016
2014FA,2014FA,Fall Term 2013-2014,2014FA-Fall Term 2013-2014,09/03/2013,12/20/2013,2014,Academic Year 2013-2014,N,P,2014,2014,12/20/2013,05/01/2013,09/03/2013,09/04/2013,12/11/2013,09/01/2013,01/15/2014,01/08/2016
